"Deployment","Year","Lured","DateTime","Series","Photos","Species","Sex","Age","Individuals","Duration","DeploymentYear"
"ABMI-0409-NE",2019,"y",2019-04-27 10:53:04,1,17,"Gray Wolf","Unkn","Adult",1,67.945239617,"ABMI-0409-NE_2019"
"ABMI-0409-NE",2019,"y",2019-04-27 10:58:05,2,5,"Gray Wolf","Unkn","Adult",1,39.945239617,"ABMI-0409-NE_2019"
"ABMI-0409-NE",2019,"y",2019-01-25 14:12:07,3,70,"Woodland Caribou","Unkn","Adult",1.71428571428571,168.773854324,"ABMI-0409-NE_2019"
"ABMI-0409-NE",2019,"y",2019-03-25 10:53:14,4,44,"Woodland Caribou","Unkn","Adult",1,270.95070441284,"ABMI-0409-NE_2019"
"ABMI-0409-NE",2019,"y",2019-03-27 12:23:03,5,18,"Woodland Caribou","Unkn","Adult",1,71.773854324,"ABMI-0409-NE_2019"
"ABMI-0409-NE",2019,"y",2019-04-12 15:18:58,6,21,"Woodland Caribou","Unkn","Adult",1.57142857142857,95.773854324,"ABMI-0409-NE_2019"
"ABMI-0409-NE",2019,"y",2019-04-21 11:48:36,7,4,"Woodland Caribou","Unkn","Adult",1,25.773854324,"ABMI-0409-NE_2019"
"ABMI-0409-NE",2019,"y",2019-06-02 07:53:39,8,12,"Woodland Caribou","Unkn+Female","Juv+Adult",1.83333333333333,36.773854324,"ABMI-0409-NE_2019"
"ABMI-0409-NW",2019,"n",2019-04-09 13:46:50,9,3,"Woodland Caribou","Unkn","Adult",1.66666666666667,8.773854324,"ABMI-0409-NW_2019"
"ABMI-0409-NW",2019,"n",2019-04-18 17:57:11,10,14,"Woodland Caribou","Unkn","Adult",1,32.773854324,"ABMI-0409-NW_2019"
"ABMI-0409-NW",2019,"n",2019-04-21 12:11:25,11,2,"Woodland Caribou","Unkn","Adult",1,6.773854324,"ABMI-0409-NW_2019"
"ABMI-0409-NW",2019,"n",2019-06-05 20:40:12,12,1,"Woodland Caribou","Unkn","Adult",1,4.773854324,"ABMI-0409-NW_2019"
"ABMI-0409-SE",2019,"n",2019-02-25 10:45:27,13,3,"Marten","Unkn","Adult",1,13.268795518,"ABMI-0409-SE_2019"
"ABMI-0409-SW",2019,"y",2019-06-29 03:40:20,14,2,"Black Bear","Unkn","Adult",1,24.9272762310769,"ABMI-0409-SW_2019"
"ABMI-0409-SW",2019,"y",2019-06-29 03:40:53,15,3,"Black Bear","Unkn","Adult",1,12.181914064,"ABMI-0409-SW_2019"
"ABMI-0409-SW",2019,"y",2019-04-19 06:46:47,16,1,"Canada Lynx","Unkn","Adult",1,4.8679801,"ABMI-0409-SW_2019"
"ABMI-0409-SW",2019,"y",2019-03-20 23:24:09,17,1,"Marten","Unkn","Adult",1,8.268795518,"ABMI-0409-SW_2019"
"ABMI-0409-SW",2019,"y",2019-03-25 11:53:33,18,7,"Woodland Caribou","Unkn","Adult",1,41.6384515986916,"ABMI-0409-SW_2019"
"ABMI-0409-SW",2019,"y",2019-03-25 11:54:37,19,8,"Woodland Caribou","Unkn","Adult",1,44.773854324,"ABMI-0409-SW_2019"
"ABMI-0409-SW",2019,"y",2019-04-12 17:48:03,20,53,"Woodland Caribou","Unkn","Adult",2.22641509433962,119.773854324,"ABMI-0409-SW_2019"
"ABMI-0409-SW",2019,"y",2019-04-12 17:50:16,21,1,"Woodland Caribou","Unkn","Adult",1,4.773854324,"ABMI-0409-SW_2019"
"ABMI-0409-SW",2019,"y",2019-04-12 17:50:25,22,6,"Woodland Caribou","Unkn","Adult",1.16666666666667,53.8409770168912,"ABMI-0409-SW_2019"
"ABMI-0409-SW",2019,"y",2019-05-22 08:23:45,23,8,"Woodland Caribou","Unkn","Adult",1,32.773854324,"ABMI-0409-SW_2019"
"ABMI-0409-SW",2019,"y",2019-06-04 10:25:47,24,9,"Woodland Caribou","Unkn","Adult",1,33.773854324,"ABMI-0409-SW_2019"
"ABMI-0409-SW",2019,"y",2019-06-08 16:30:31,25,20,"Woodland Caribou","Unkn","Adult",1,61.773854324,"ABMI-0409-SW_2019"
"ABMI-0409-SW",2019,"y",2019-06-08 18:10:58,26,2,"Woodland Caribou","Unkn","Adult",1,5.773854324,"ABMI-0409-SW_2019"
"ABMI-0409-SW",2019,"y",2019-06-08 18:11:04,27,46,"Woodland Caribou","Unkn","Adult",1,258.2673622217,"ABMI-0409-SW_2019"
"ABMI-0409-SW",2019,"y",2019-06-08 18:17:44,28,16,"Woodland Caribou","Unkn","Adult",1,89.699154411478,"ABMI-0409-SW_2019"
"ABMI-0409-SW",2019,"y",2019-06-08 18:21:09,29,6,"Woodland Caribou","Unkn","Adult",1,19.773854324,"ABMI-0409-SW_2019"
"ABMI-0410-NE",2019,"y",2019-06-23 22:49:51,30,1,"Black Bear","Unkn","Adult",1,6.181914064,"ABMI-0410-NE_2019"
"ABMI-0410-NE",2019,"y",2019-06-25 19:33:04,31,3,"Black Bear","Unkn","Adult",1,10.181914064,"ABMI-0410-NE_2019"
"ABMI-0410-NE",2019,"y",2019-03-18 14:31:30,32,5,"Canada Lynx","Unkn","Adult",1,26.8679801,"ABMI-0410-NE_2019"
"ABMI-0410-NE",2019,"y",2019-03-18 14:32:17,33,4,"Canada Lynx","Unkn","Adult",1,41.7835126231813,"ABMI-0410-NE_2019"
"ABMI-0410-NE",2019,"y",2019-03-24 04:15:36,34,2,"Canada Lynx","Unkn","Adult",1,7.8679801,"ABMI-0410-NE_2019"
"ABMI-0410-NE",2019,"y",2019-01-25 08:50:54,35,1,"Snowshoe Hare","Unkn","Adult",1,10.66675689,"ABMI-0410-NE_2019"
"ABMI-0410-NE",2019,"y",2019-03-01 22:47:57,36,1,"Snowshoe Hare","Unkn","Adult",1,10.66675689,"ABMI-0410-NE_2019"
"ABMI-0410-NE",2019,"y",2019-03-23 06:16:23,37,1,"Snowshoe Hare","Unkn","Adult",1,10.66675689,"ABMI-0410-NE_2019"
"ABMI-0410-NW",2019,"n",2019-05-19 17:48:13,38,18,"Black Bear","Unkn","Adult",1,61.181914064,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-05-19 17:49:30,39,4,"Black Bear","Unkn","Juv",1,13.181914064,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-06-20 16:48:24,40,7,"Black Bear","Unkn","Adult",1,38.181914064,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-02-01 18:54:31,41,6,"Canada Lynx","Unkn","Adult",1,23.8679801,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-02-02 08:07:50,42,2,"Canada Lynx","Unkn","Adult",1,5.8679801,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-02-02 08:23:49,43,1,"Canada Lynx","Unkn","Adult",1,4.8679801,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-02-02 09:15:06,44,7,"Canada Lynx","Unkn","Adult",1,43.7086486261317,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-02-02 10:41:34,45,4,"Canada Lynx","Unkn","Adult",1,8.8679801,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-02-11 07:24:18,46,4,"Canada Lynx","Unkn","Adult",1,10.8679801,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-02-11 07:29:22,47,2,"Canada Lynx","Unkn","Adult",1,6.8679801,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-02-19 17:11:59,48,3,"Canada Lynx","Unkn","Adult",1,7.8679801,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-02-19 17:47:32,49,1,"Canada Lynx","Unkn","Adult",1,4.8679801,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-04-27 18:03:17,50,3,"Canada Lynx","Unkn","Adult",1,10.8679801,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-04-10 16:39:41,51,27,"Moose","Unkn","Adult",1,150.975682230136,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-03-12 08:31:53,52,1,"Red Squirrel","Unkn","Adult",1,7.374206128,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-03-13 11:10:07,53,3,"Red Squirrel","Unkn","Adult",1,11.374206128,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-03-14 12:09:32,54,4,"Red Squirrel","Unkn","Adult",1,13.374206128,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-03-14 12:12:34,55,2,"Red Squirrel","Unkn","Adult",1,9.374206128,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-03-17 11:15:02,56,1,"Red Squirrel","Unkn","Adult",1,7.374206128,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-03-18 09:27:07,57,1,"Red Squirrel","Unkn","Adult",1,7.374206128,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-03-20 07:41:53,58,2,"Red Squirrel","Unkn","Adult",1,13.374206128,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-03-23 10:09:56,59,1,"Red Squirrel","Unkn","Adult",1,7.374206128,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-03-31 12:58:18,60,1,"Red Squirrel","Unkn","Adult",1,7.374206128,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-04-17 09:27:19,61,1,"Red Squirrel","Unkn","Adult",1,7.374206128,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-04-25 19:41:50,62,1,"Red Squirrel","Unkn","Adult",1,7.374206128,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-04-27 18:57:12,63,2,"Red Squirrel","Unkn","Adult",1,12.374206128,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-05-04 17:16:54,64,1,"Red Squirrel","Unkn","Adult",1,7.374206128,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-05-05 10:03:13,65,1,"Red Squirrel","Unkn","Adult",1,7.374206128,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-05-05 15:09:34,66,1,"Red Squirrel","Unkn","Adult",1,7.374206128,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-05-05 17:38:52,67,1,"Red Squirrel","Unkn","Adult",1,7.374206128,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-05-06 20:04:50,68,1,"Red Squirrel","Unkn","Adult",1,7.374206128,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-01-24 18:32:26,69,5,"Snowshoe Hare","Unkn","Adult",1,35.3901535986223,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-01-24 18:39:40,70,14,"Snowshoe Hare","Unkn","Adult",1,121.277686792112,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-01-24 18:46:21,71,6,"Snowshoe Hare","Unkn","Adult",1,77.5093408462067,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-01-24 19:00:45,72,6,"Snowshoe Hare","Unkn","Adult",1,20.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-01-24 19:08:24,73,15,"Snowshoe Hare","Unkn","Adult",1,79.0662763929823,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-01-24 19:21:43,74,5,"Snowshoe Hare","Unkn","Adult",1,21.66675689,"ABMI-0410-NW_2019"
