sp_season,npairs,total_images_pc900,total_images_hf2,hf2_images_as_pct_of_pc900_median,hf2_images_as_pct_of_pc900_lci,hf2_images_as_pct_of_pc900_uci,total_duration_pc900,total_duration_hf2,hf2_dur_as_pct_of_pc900_median,hf2_dur_as_pct_of_pc900_lci,hf2_dur_as_pct_of_pc900_uci
Black Bear,18,427,497,116.89726018047043,100.69831223628692,144.94152904686058,2560.107166507168,2722.3080080758823,107.23252509240567,93.29278541527943,127.19064394696336
Canada Lynx,9,90,104,115.89105339105339,79.24135220125787,161.13247863247858,462.8087950686206,469.57291003870904,101.31690984971488,77.79593136492875,152.9199828004468
Coyote,14,210,309,147.1053611317945,125.92348927875244,172.7758998435055,1280.813926316955,1650.9925471593633,128.84426519125552,110.3241114399808,156.6638974433908
Elk (wapiti),3,17,18,105.88235294117648,100,107.6923076923077,57.245351812366735,55.83535181236674,97.53691792370923,92.39555371394601,100
Fisher,4,4,13,299.99999999999994,25,2300.0000000000005,31.42745535714286,152.04575892857144,452.58709471217014,31.212045882311163,3447.254512805973
Gray Wolf,1,16,9,56.25,56.25,56.25,100.86297297297298,86.45297297297299,85.71329044221088,85.71329044221088,85.71329044221088
Marten,1,2,4,200,200,200,16.894285714285715,32.894285714285715,194.70657872484355,194.70657872484355,194.70657872484355
Moose,17,2607,3027,116.3314613984638,109.97514333294414,123.2188321966999,11940.31110907548,12628.277092250277,105.77876450305817,98.66343887236029,117.17979492292307
Mule deer,8,2249,2670,119.15442386992584,110.50764563407901,125.18561037261901,12302.768101236717,12811.585048730125,104.07212971303251,96.45566758405737,114.80747805129111
Muskrat,1,314,368,117.19745222929936,117.19745222929936,117.19745222929936,1555.9580952380952,2082.7502380952383,133.8564479640779,133.8564479640779,133.8564479640779
Porcupine,4,13,16,124,66.66666666666666,400,58.50279906176701,47.98279906176701,82.01795440780018,50,342.88348700754403
Red fox,1,0,1,Inf,Inf,Inf,0,7.249491525423728,Inf,Inf,Inf
Red Squirrel,4,15,21,134.6153846153846,60,444.99999999999886,146.0119658119658,197.74358974358972,131.9362432173635,70.538314040196,375.63298432895397
Snowshoe Hare,16,NA,977,132.16444981862153,98.74468085106385,154.08703450010256,NA,9287.850501161633,132.0711712631082,99.973171713486,152.46982741287317
White-tailed Deer,18,4150,4687,113.43637239175773,101.75722594548274,128.10222495123497,19743.929154603116,20054.65324517988,101.70857417523848,93.20336627490298,113.59617292941945
Woodland Caribou,1,213,129,60.56338028169014,60.56338028169014,60.56338028169014,844.396316561941,677.1047374214558,80.18802594714853,80.18802594714853,80.18802594714853
