location_cam,common_name,season,total_duration,total_images,total_series
OGW-ABMI-1057-11_HF2 PRO COVERT,Beaver,summer,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,Beaver,winter,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,Bird,summer,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,Bird,winter,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,Black Bear,summer,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,Black Bear,winter,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,Coyote,summer,50.62866846321385,10,4
OGW-ABMI-1057-11_HF2 PRO COVERT,Coyote,winter,82.94300269482076,18,6
OGW-ABMI-1057-11_HF2 PRO COVERT,"Cranes, Rails, Coots",summer,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,"Cranes, Rails, Coots",winter,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,"Crows, Jays, and Allies",summer,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,"Crows, Jays, and Allies",winter,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,Deer,summer,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,Deer,winter,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,"Ducks, Swans, Geese",summer,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,"Ducks, Swans, Geese",winter,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,Elk (wapiti),summer,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,Elk (wapiti),winter,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,Ermine,summer,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,Ermine,winter,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,Fisher,summer,0,0,0
OGW-ABMI-1057-11_HF2 PRO COVERT,Fisher,winter,0,0,0
