,,,Total Images,,HF2 as % of PC900,,
Species,Season,npairs,PC900,HF2,Median,LCI,UCI
Black Bear,all,18,427,497,116.9,100.7,144.9
,summer,18,316,392,124.3,105.1,153.8
,winter,2,111,105,94.6,0,96.3
Canada Lynx,all,9,90,104,115.9,79.2,161.1
,summer,4,5,10,200,133.3,350
,winter,7,85,94,111.2,76.6,151
Coyote,all,14,210,309,147.1,125.9,172.8
,summer,10,56,78,136.9,98.3,179.4
,winter,12,154,231,150.2,126.8,192.6
Elk (wapiti),all,3,17,18,105.9,100,107.7
,summer,1,13,14,107.7,107.7,107.7
,winter,2,4,4,100,100,100
Fisher,all,4,4,13,300,25,2300
,summer,3,4,2,50,0,100
,winter,1,0,11,Inf,Inf,Inf
Gray Wolf,all,1,16,9,56.2,56.2,56.2
,summer,1,16,9,56.2,56.2,56.2
Marten,all,1,2,4,200,200,200
,winter,1,2,4,200,200,200
Moose,all,17,2607,3027,116.3,110,123.2
,summer,14,1689,1906,112.9,88.5,119.9
,winter,12,918,1121,122.1,116.2,147.9
Mule deer,all,8,2249,2670,119.2,110.5,125.2
,summer,4,35,47,133.3,102.4,178.6
,winter,8,2214,2623,118.8,110.4,125.7
Muskrat,all,1,314,368,117.2,117.2,117.2
,summer,1,304,343,112.8,112.8,112.8
,winter,1,10,25,250,250,250
Porcupine,all,4,13,16,124,66.7,400
,summer,2,2,3,150,0,300
,winter,3,11,13,118.2,100,Inf
Red fox,all,1,0,1,Inf,Inf,Inf
,winter,1,0,1,Inf,Inf,Inf
Red Squirrel,all,4,15,21,134.6,60,445
,summer,1,8,3,37.5,37.5,37.5
,winter,4,7,18,257.1,100,650
Snowshoe Hare,all,16,739,977,132.2,98.7,154.1
,summer,8,92,88,97.8,69.7,366.9
,winter,15,647,889,136.1,101.6,151.3
White-tailed Deer,all,18,4150,4687,113.4,101.8,128.1
,summer,17,1800,2120,118.1,104.9,134.6
,winter,14,2350,2567,109.9,98.7,128.4
Woodland Caribou,all,1,213,129,60.6,60.6,60.6
,summer,1,213,129,60.6,60.6,60.6
